No,PROVINCE,Erosion ,Commodities ,Settlement,Non_Productive_Conversion,Extreme_Climatic_Events,AGB_Erosion ,AGB_Commodities ,AGB_Settlement,AGB_Non_Productive_Conversion,AGB_Extreme_Climatic_Events,SOC_Erosion ,SOC_Commodities ,SOC_Settlement,SOC_Non_Productive_Conversion,SOC_Extreme_Climatic_Events,Area_2010,AreaHC_2000_ha,AreaHC_2012_ha,DR%_HC,SOC_1m_MgC_ha,SOC_2m_MgC_ha,TreeC_MgC_ha,TOTAL_tree_2m_MgC_ha,TOTAL_field_MgC_ha,Tree_field_MgC_ha,Soil_field_MgC_ha,SOC_1m_CO2_ha,SOC_2m_CO2_ha,TreeC_C02_ha,TOTAL_tree_1m_CO2_ha,TOTAL_field_CO2_ha,Tree_field_CO2_ha,Soil_field_CO2_ha
51,Agulhas,61.1,0,0,38.9,0,1,0.83,1,0.7,0.31,1,0.52,0.66,0.21,0.14,2581.3,713.4,705.5,0.09,239.2,457.9,86,543.9,,,,877.9,1680.5,315.4,1995.9,,,
24,Andaman,33,42.7,0.6,9.9,13.8,1,0.9,1,0.88,0.31,1,0.27,0.66,0.45,0.14,500856.3,415909.0734,405242.8548,,466.9,911.8,100.1,1011.9,,,,1713.5,3346.3,367.4,3713.7,,,
23,Bay of Bengal,19.3,73.5,0.3,3.7,3.2,1,0.83,1,0.7,0.31,1,0.52,0.66,0.33,0.14,911222.9,298981.2,279766.5,0.54,207.4,408.6,78.8,487.4,234,71.5,134,761.2,1499.6,289.2,1788.8,858.8,262.4,491.8
39,Central Poynesia,21.4,0,1.2,66.4,11,1,0.83,1,0.7,0.31,1,0.52,0.66,0.33,0.14,324.1,0,0,,406.1,790.4,44.2,834.6,,,,1490.4,2900.8,162.2,3063,,,
55,East Central Australian Shelf,5.2,0,10.3,70.8,13.7,1,0.83,1,0.7,0.31,1,0.52,0.66,0.33,0.14,40549.8,15717.7,15637.6,0.04,356.6,502,108.5,610.5,,,,1308.7,1842.3,398.2,2240.5,,,
31,Eastern Coral Triangle,24.1,0.3,0.2,8.7,66.7,1,0.83,1,0.7,0.31,1,0.52,0.66,0.33,0.14,215917.6,174997.9,173660.2,0.06,468.9,919.6,109.1,1028.7,,,,1720.9,3374.9,400.4,3775.3,,,
44,Galapagos,26.3,47.4,4.6,14.7,7,1,0.83,1,0.7,0.31,1,0.52,0.66,0.33,0.14,2449.6,1006.2935,1005.7341,,426.9,829.6,169.7,999.3,,,,1566.7,3044.6,622.9,3667.5,,,
17,Gulf of Guinea,14.8,10.5,16.4,42.2,16.1,1,0.83,1,0.7,0.31,1,0.52,0.66,0.33,0.14,1806989,768836.1,766542.5,0.02,341.4,665.2,87.7,752.9,794,67,727,1252.9,2441.3,321.7,2763,2914,245.9,2668.1
37,Hawaii,36.7,36.8,0.8,22.6,3.1,1,0.83,1,0.7,0.31,1,0.52,0.66,0.33,0.14,703.8,332.9215,322.4596,,275.4,532.4,80.8,613.2,,,,1010.7,1953.9,296.7,2250.6,,,
27,Java Transitional,14.2,58,7.4,20,0.3,1,0.9,1,0.88,0.31,1,0.27,0.66,0.45,0.14,15119.3,12482.7,12232.5,0.17,483.2,954.6,131.8,1086.4,,,,1773.3,3503.4,483.7,3987.1,,,
13,North Brazil Shelf,54.9,16.4,0.1,5.7,23,1,0.97,1,0.7,0.31,1,0.67,0.66,0.33,0.14,1263555.7,997564.3,990088.2,0.06,362.7,724.4,107.1,831.5,473,125,347,1331.1,2658.5,393.1,3051.6,1735.9,458.8,1273.5
33,Northeast Australian Shelf,53.5,0,0,15.7,30.8,1,0.83,1,0.7,0.31,1,0.52,0.66,0.33,0.14,232406,124564.6,124057.3,0.03,292,564.9,44.7,609.6,376,125,251,1071.6,2073.2,163.9,2237.1,1379.9,458.8,921.2
53,North New Zealand,32,0,37.9,30.1,0,1,0.83,1,1,0.31,1,0.52,0.66,0.33,0.14,16062.8,4437,4385.2,0.1,427.8,823.3,35.3,858.6,,,,1570,3021.5,129.4,3150.9,,,
34,Northwest Australian Shelf,0.8,0,0,21,78.2,1,0.83,1,0.7,0.31,1,0.52,0.66,0.33,0.38,47831.2,3351.1,3347.6,0.01,316,615.3,15.4,630.7,181.5,44,137.5,1159.7,2258.2,56.4,2314.5,666.1,161.5,504.6
18,Red Sea and Gulf of Aden,37.4,13.9,0,21.6,27.1,1,0.83,1,0.7,0.31,1,0.52,0.66,0.33,0.14,15065.9,206,205.3,0.03,272.8,538.1,199,737.1,,,,1001.2,1974.8,730.4,2705.3,,,
32,Sahul Shelf,43.6,0.2,0,9.4,46.8,1,0.9,1,0.88,0.31,1,0.27,0.66,0.45,0.38,1656126.4,1084138.3,1080858.8,0.03,399.8,794.5,103.3,897.8,376,125,251,1467.3,2915.8,379,3294.8,1379.9,458.8,921.2
19,Somali/Arabian,10.5,0,4.5,57.6,27.3,1,0.83,1,0.88,0.31,1,0.52,0.66,0.45,0.14,18852.5,33.6042,33.5999,0,252.7,495.2,220.7,715.9,217,37,180,927.4,1817.4,810.1,2627.5,796.4,135.8,660.6
25,South China Sea,44.9,37.4,9.2,8.3,0.3,1,0.83,1,0.88,0.31,1,0.52,0.66,0.45,0.14,39706.4,8383.5574,8167.6814,,237.8,457,52.7,509.7,,,,872.7,1677.2,193.4,1870.6,,,
28,South Kuroshio,44.9,37.4,9.2,8.3,0.3,1,0.83,1,0.7,0.31,1,0.52,0.66,0.33,0.14,983.3,782.5,776.7,0.06,411.8,801.1,332.3,1133.4,,,,1511.3,2940,1219.6,4159.6,,,
56,Southeast Australian Shelf,0,0,0,0,100,1,0.83,1,0.88,0.31,1,0.52,0.66,0.45,0.38,5022.4,1429.4,1424.5,0.03,264.4,516.9,20.3,537.2,,,,970.3,1897,74.7,1971.7,,,
54,South New Zealand,26.5,0,7.5,66,0,1,0.83,1,1,0.31,1,0.52,0.66,0.6,0.14,14534.1,3402.9937,3361.8697,,427.8,823.3,103.8,927.1,,,,1570,3021.5,381,3402.5,,,
57,Southwest Australian Shelf,27.7,0,0,71.2,1.1,1,0.83,1,0.88,0.31,1,0.52,0.66,0.45,0.38,19882.6,6826,6818.9,0.01,284.1,539.4,9.8,549.2,,,,1042.6,1979.6,35.8,2015.4,,,
26,Sunda Shelf,18.8,70.4,6.3,3.2,1.2,1,0.9,1,0.88,0.31,1,0.27,0.66,0.45,0.14,1127740.6,935776.2,897491.4,0.34,408,815.4,103.2,918.6,1434.9,316.9,1118,1497.4,2992.5,378.8,3371.3,5266.1,1163,4103.1
43,Tropical East Pacific,26.3,47.4,4.6,14.7,7,1,0.83,1,0.88,0.31,1,0.52,0.66,0.45,0.14,727813.5,519978.6,517546.4,0.04,416.4,650.1,169.7,819.8,852.8,185,715,1528.2,2385.9,622.9,3008.7,3129.8,679,2624.1
12,Tropical Northwestern Atlantic,35.7,3.5,2.6,30.7,27.4,1,0.76,1,0.88,0.31,1,0.46,0.66,0.45,0.14,1534395.2,752604,740195.9,0.14,332.4,827.3,78.2,905.5,863.4,66.6,796.8,1219.9,3036.3,287,3323.3,3168.7,244.4,2924.3
29,Tropical Northwestern Pacific,24.1,0.3,0.2,8.7,66.7,1,0.83,1,0.7,0.31,1,0.52,0.66,0.33,0.14,14489.7,5501.4,5484.1,0.03,578.9,1155.8,56.5,1212.3,,,,2124.6,4241.8,207.4,4449.1,,,
14,Tropical Southwestern Atlantic,16.1,35.9,3,41.9,3,1,0.97,1,0.7,0.31,1,0.67,0.66,0.33,0.14,171645.1,93532.2,93239.5,0.03,328.2,638.9,86,724.9,473,125,347,1204.5,2344.8,315.4,2660.2,1735.9,458.8,1273.5
35,Tropical Southwestern Pacific,21.4,0,1.2,66.4,11,1,0.83,1,0.7,0.31,1,0.52,0.66,0.33,0.14,85480,53028.9,52885.1,0.02,406.1,790.4,79.8,870.2,,,,1490.4,2900.8,293,3193.8,,,
11,Warm Temperate Northeast Pacific,36.7,36.8,0.8,22.6,3.1,1,0.83,1,0.88,0.31,1,0.52,0.66,0.45,0.14,223720.9,27309.1,27240.8,0.02,262.6,503.6,55.8,559.4,331,76,255,963.7,1848.2,204.9,2053.1,1214.8,278.9,935.9
6,Warm Temperate Northwest Atlantic,20.5,0,0,2,77.5,1,0.76,1,0.88,0.31,1,0.46,0.66,0.45,0.14,3728,2261.7586,2249.8216,0.01,404.7,808.1,61.9,870,,,,1485.1,2965.5,227.3,3192.8,,,
9,Warm Temperate Northwest Pacific,44.9,37.4,9.2,8.3,0.3,1,0.83,1,0.88,0.31,1,0.52,0.66,0.45,0.14,1227.5,473.5066,469.0004,,291.4,561,63.2,624.2,,,,1069.4,2058.9,232,2290.9,,,
47,Warm Temperate Southwestern Atlantic,16.5,32.4,12.3,6.7,32.1,1,0.97,1,0.88,0.31,1,0.67,0.66,0.45,0.14,73236.4,47849.3467,47804.8555,0.08,403.9,781.6,113.2,894.8,,,,1482.3,2868.5,415.4,3283.9,,,
16,West African Transition,82.3,2.1,1,13.2,1.5,1,0.83,1,0.88,0.31,1,0.52,0.66,0.45,0.14,184565.5,19551,19545.4,0,318.4,622.8,67.4,690.2,675,34,641,1168.5,2285.7,247.5,2533.2,2477.3,124.8,2352.5
21,West and South Indian Shelf,39.8,7.5,6.1,26.6,20,1,1,1,0.88,0.31,1,0.45,0.66,0.45,0.14,143134.1,5510.9,5462.6,0.07,284.2,558.8,61.5,620.3,,,,1043,2050.8,225.7,2276.5,,,
58,West Central Australian Shelf,0,0,0,0,100,1,0.83,1,0.88,0.31,1,0.52,0.66,0.45,0.38,1674.3,45.4,45.4,0,277.5,529.5,25.5,555,,,,1018.4,1943.3,93.7,2037,,,
30,Western Coral Triangle,9.5,87.1,0.7,2.1,0.6,1,0.9,1,0.88,0.31,1,0.27,0.66,0.45,0.14,1836288.7,1671241.2,1606723.2,0.32,497.8,975.9,134.3,1110.2,1210,283,927,1826.9,3581.6,493,4074.6,4440.7,1038.6,3402.1
20,Western Indian Ocean,24.2,7.1,1.2,35.6,31.8,1,0.83,1,0.7,0.31,1,0.52,0.66,0.21,0.14,728043.6,280684,279964.4,0.02,335.7,657.6,92.7,750.3,875.7,172.6,760.6,1232,2413.4,340.4,2753.7,3213.8,633.4,2791.4
